Column1;Column2;Column3;Column4;Column5;Column6
# Red box data ;;;;;
# slow cooling cycle (mol con 0.50);;;;;
# t0: 2022              3              8             16             16         32.004;;;;;
# T [K] ; dTdt [K/s] ; V [Volt] ; dV/dt [Volt/s] ; IntdTdt [V] ; etime [s] 
2.81048e+02 ; -5.26390e-01 ; 2.89756e-04 ; -2.67633e-05 ; 4.00448e-04 ; 7.48930e+01 
2.80620e+02 ; -5.26869e-01 ; 2.64859e-04 ; -2.67765e-05 ; 3.78740e-04 ; 7.59080e+01 
2.80122e+02 ; -5.29070e-01 ; 2.39724e-04 ; -2.68754e-05 ; 3.53473e-04 ; 7.69230e+01 
2.79625e+02 ; -5.27709e-01 ; 2.14708e-04 ; -2.67933e-05 ; 3.28278e-04 ; 7.79370e+01 
2.79203e+02 ; -5.27823e-01 ; 1.93018e-04 ; -2.67880e-05 ; 3.06874e-04 ; 7.89380e+01 
2.78705e+02 ; -5.28509e-01 ; 1.68049e-04 ; -2.68099e-05 ; 2.81614e-04 ; 7.99410e+01 
2.78197e+02 ; -5.29794e-01 ; 1.47200e-04 ; -2.68618e-05 ; 2.55906e-04 ; 8.09410e+01 
2.77786e+02 ; -5.30016e-01 ; 1.22011e-04 ; -2.68600e-05 ; 2.35033e-04 ; 8.19420e+01 
2.77281e+02 ; -5.31094e-01 ; 9.64938e-05 ; -2.68983e-05 ; 2.09463e-04 ; 8.29420e+01 
2.76785e+02 ; -5.30684e-01 ; 7.49528e-05 ; -2.68615e-05 ; 1.84315e-04 ; 8.39580e+01 
2.76355e+02 ; -5.29430e-01 ; 4.96922e-05 ; -2.67842e-05 ; 1.62506e-04 ; 8.49730e+01 
2.75863e+02 ; -5.30508e-01 ; 2.50338e-05 ; -2.68229e-05 ; 1.37573e-04 ; 8.59730e+01 
2.75378e+02 ; -5.29997e-01 ; 3.31400e-06 ; -2.67814e-05 ; 1.12975e-04 ; 8.69740e+01 
2.74941e+02 ; -5.30889e-01 ; -2.19046e-05 ; -2.68124e-05 ; 9.08194e-05 ; 8.79740e+01 
2.74442e+02 ; -5.30966e-01 ; -4.28616e-05 ; -2.68003e-05 ; 6.55114e-05 ; 8.89740e+01 
