T[K] ; dTdt [K/s] ; V [Volt] ; dV/dt [Volt/s] ; IntdTdt [V] ; etime [s] 
7.50518e+01 ; -4.60869e-02 ; -7.92847e-03 ; -1.02205e-06 ; -7.84607e-03 ; 9.62200e+01 
7.50518e+01 ; -4.28426e-02 ; -7.92847e-03 ; -9.50103e-07 ; -7.84607e-03 ; 9.72350e+01 
7.49199e+01 ; -4.61665e-02 ; -7.92847e-03 ; -1.02208e-06 ; -7.84912e-03 ; 9.82500e+01 
7.50518e+01 ; -4.41395e-02 ; -7.92847e-03 ; -9.78865e-07 ; -7.84607e-03 ; 9.92660e+01 
7.50518e+01 ; -4.34917e-02 ; -7.92847e-03 ; -9.64498e-07 ; -7.84607e-03 ; 1.00249e+02 
7.50518e+01 ; -4.28413e-02 ; -7.92847e-03 ; -9.50075e-07 ; -7.84607e-03 ; 1.01266e+02 
7.50520e+01 ; -4.02447e-02 ; -7.92847e-03 ; -8.92494e-07 ; -7.84606e-03 ; 1.02288e+02 
7.50518e+01 ; -3.95970e-02 ; -7.92847e-03 ; -8.78127e-07 ; -7.84607e-03 ; 1.03286e+02 
7.50518e+01 ; -4.02448e-02 ; -7.92847e-03 ; -8.92494e-07 ; -7.84607e-03 ; 1.04302e+02 
7.49199e+01 ; -3.70622e-02 ; -7.92847e-03 ; -8.20519e-07 ; -7.84912e-03 ; 1.05294e+02 
7.50520e+01 ; -3.37549e-02 ; -7.92847e-03 ; -7.48572e-07 ; -7.84606e-03 ; 1.06309e+02 
7.50518e+01 ; -3.82975e-02 ; -7.92542e-03 ; -8.49309e-07 ; -7.84607e-03 ; 1.07309e+02 
7.49199e+01 ; -3.44627e-02 ; -7.92847e-03 ; -7.62967e-07 ; -7.84912e-03 ; 1.08308e+02 
7.50518e+01 ; -3.24555e-02 ; -7.92847e-03 ; -7.19754e-07 ; -7.84607e-03 ; 1.09324e+02 
7.50518e+01 ; -3.31047e-02 ; -7.92847e-03 ; -7.34149e-07 ; -7.84607e-03 ; 1.10339e+02 
7.50518e+01 ; -3.63514e-02 ; -7.92847e-03 ; -8.06152e-07 ; -7.84607e-03 ; 1.11337e+02 
7.50520e+01 ; -3.63513e-02 ; -7.92847e-03 ; -8.06152e-07 ; -7.84606e-03 ; 1.12351e+02 
7.50518e+01 ; -3.63502e-02 ; -7.92847e-03 ; -8.06125e-07 ; -7.84607e-03 ; 1.13352e+02 
7.51839e+01 ; -2.65682e-02 ; -7.92542e-03 ; -5.90198e-07 ; -7.84302e-03 ; 1.14353e+02 
7.50520e+01 ; 1.42804e-02 ; -7.92847e-03 ; 3.16692e-07 ; -7.84606e-03 ; 1.15354e+02 
7.51839e+01 ; 9.07079e-03 ; -7.92542e-03 ; 2.01503e-07 ; -7.84302e-03 ; 1.16355e+02 
7.51839e+01 ; -6.49245e-04 ; -7.92541e-03 ; -1.44226e-08 ; -7.84302e-03 ; 1.17341e+02 
7.51841e+01 ; 3.04548e-02 ; -7.92541e-03 ; 6.76541e-07 ; -7.84301e-03 ; 1.18355e+02 
7.53160e+01 ; 7.30982e-02 ; -7.92237e-03 ; 1.62662e-06 ; -7.83997e-03 ; 1.19373e+02 
7.55802e+01 ; 1.17976e-01 ; -7.91931e-03 ; 2.63427e-06 ; -7.83386e-03 ; 1.20373e+02 
