T;dTdt [K/s];V [Volt];dV/dt [Volt/s];IntdTdt [V];etime [s]
7.37985e+01 ; -1.20485e-01 ; -7.96413e-03 ; -2.62944e-06 ; -7.87502e-03 ; 7.99200e+01 
7.37477e+01 ; -8.57694e-02 ; -7.96412e-03 ; -1.87060e-06 ; -7.87619e-03 ; 8.09350e+01 
7.37178e+01 ; -6.46471e-02 ; -7.96538e-03 ; -1.40940e-06 ; -7.87688e-03 ; 8.19350e+01 
7.37154e+01 ; -5.48090e-02 ; -7.96585e-03 ; -1.19488e-06 ; -7.87694e-03 ; 8.29600e+01 
7.36752e+01 ; -4.81996e-02 ; -7.96553e-03 ; -1.05025e-06 ; -7.87787e-03 ; 8.39590e+01 
7.37051e+01 ; -4.41390e-02 ; -7.96613e-03 ; -9.62137e-07 ; -7.87718e-03 ; 8.49750e+01 
7.37087e+01 ; -3.82776e-02 ; -7.96602e-03 ; -8.34408e-07 ; -7.87709e-03 ; 8.59910e+01 
7.36762e+01 ; -3.51979e-02 ; -7.96581e-03 ; -7.66959e-07 ; -7.87784e-03 ; 8.69890e+01 
7.36971e+01 ; -3.60825e-02 ; -7.96599e-03 ; -7.86443e-07 ; -7.87736e-03 ; 8.80040e+01 
7.36871e+01 ; -3.09615e-02 ; -7.96560e-03 ; -6.74741e-07 ; -7.87759e-03 ; 8.90180e+01 
7.37454e+01 ; -2.05467e-02 ; -7.96560e-03 ; -4.48103e-07 ; -7.87625e-03 ; 9.00200e+01 
7.37358e+01 ; -1.37390e-02 ; -7.96507e-03 ; -2.99597e-07 ; -7.87647e-03 ; 9.10200e+01 
7.37611e+01 ; -1.49126e-02 ; -7.96477e-03 ; -3.25294e-07 ; -7.87588e-03 ; 9.20330e+01 
7.37897e+01 ; -1.33985e-02 ; -7.96431e-03 ; -2.92372e-07 ; -7.87522e-03 ; 9.30330e+01 
7.37678e+01 ; -1.61692e-02 ; -7.96341e-03 ; -3.52735e-07 ; -7.87573e-03 ; 9.40340e+01 
7.38158e+01 ; -9.48231e-03 ; -7.96320e-03 ; -2.06985e-07 ; -7.87462e-03 ; 9.50460e+01 
7.38380e+01 ; -2.99005e-02 ; -7.96297e-03 ; -6.52867e-07 ; -7.87411e-03 ; 9.60570e+01 
7.38212e+01 ; -5.42563e-02 ; -7.96267e-03 ; -1.18442e-06 ; -7.87449e-03 ; 9.70720e+01 
7.38008e+01 ; -6.45365e-02 ; -7.96324e-03 ; -1.40847e-06 ; -7.87497e-03 ; 9.80780e+01 
7.39466e+01 ; 1.67997e-01 ; -7.96184e-03 ; 3.67322e-06 ; -7.87160e-03 ; 9.90790e+01 
7.41603e+01 ; 1.80884e-01 ; -7.95567e-03 ; 3.96579e-06 ; -7.86666e-03 ; 1.00079e+02 
7.43148e+01 ; 2.83689e-01 ; -7.95183e-03 ; 6.23200e-06 ; -7.86309e-03 ; 1.01095e+02 
7.50206e+01 ; 8.10306e-01 ; -7.93972e-03 ; 1.79626e-05 ; -7.84679e-03 ; 1.02096e+02 
7.58973e+01 ; 1.12669e+00 ; -7.91934e-03 ; 2.52618e-05 ; -7.82654e-03 ; 1.03110e+02 
7.71674e+01 ; 1.27730e+00 ; -7.89158e-03 ; 2.91209e-05 ; -7.79720e-03 ; 1.04126e+02 
7.84624e+01 ; 1.35539e+00 ; -7.86645e-03 ; 3.14004e-05 ; -7.76728e-03 ; 1.05126e+02 
7.96349e+01 ; 1.36505e+00 ; -7.83477e-03 ; 3.19724e-05 ; -7.74020e-03 ; 1.06141e+02 
8.09449e+01 ; 1.32926e+00 ; -7.80309e-03 ; 3.15221e-05 ; -7.70994e-03 ; 1.07157e+02 
8.23081e+01 ; 1.26863e+00 ; -7.77750e-03 ; 3.04795e-05 ; -7.67845e-03 ; 1.08157e+02 
8.33847e+01 ; 1.20046e+00 ; -7.74733e-03 ; 2.91511e-05 ; -7.65299e-03 ; 1.09160e+02 
8.44851e+01 ; 1.13896e+00 ; -7.72416e-03 ; 2.79902e-05 ; -7.62482e-03 ; 1.10161e+02 
8.53645e+01 ; 1.07488e+00 ; -7.69579e-03 ; 2.66716e-05 ; -7.60231e-03 ; 1.11163e+02 
8.63607e+01 ; 1.01852e+00 ; -7.66994e-03 ; 2.55538e-05 ; -7.57680e-03 ; 1.12161e+02 
8.73205e+01 ; 9.60248e-01 ; -7.64927e-03 ; 2.43525e-05 ; -7.55224e-03 ; 1.13173e+02 
8.81235e+01 ; 9.12117e-01 ; -7.62528e-03 ; 2.33431e-05 ; -7.53168e-03 ; 1.14190e+02 
8.89824e+01 ; 8.74392e-01 ; -7.60305e-03 ; 2.25380e-05 ; -7.50969e-03 ; 1.15189e+02 
8.98602e+01 ; 8.35908e-01 ; -7.58437e-03 ; 2.17031e-05 ; -7.48722e-03 ; 1.16174e+02 
9.05677e+01 ; 8.01761e-01 ; -7.56254e-03 ; 2.09396e-05 ; -7.46911e-03 ; 1.17191e+02 
9.13638e+01 ; 7.76393e-01 ; -7.54222e-03 ; 2.04128e-05 ; -7.44873e-03 ; 1.18207e+02 
9.21540e+01 ; 7.49578e-01 ; -7.52435e-03 ; 1.98396e-05 ; -7.42850e-03 ; 1.19207e+02 
9.27855e+01 ; 7.25697e-01 ; -7.50596e-03 ; 1.93108e-05 ; -7.41233e-03 ; 1.20222e+02 
9.35290e+01 ; 7.05493e-01 ; -7.48526e-03 ; 1.88984e-05 ; -7.39239e-03 ; 1.21221e+02 
9.41978e+01 ; 6.86652e-01 ; -7.47048e-03 ; 1.85097e-05 ; -7.37366e-03 ; 1.22238e+02 
9.47392e+01 ; 6.68348e-01 ; -7.45282e-03 ; 1.81088e-05 ; -7.35850e-03 ; 1.23239e+02 
9.53650e+01 ; 6.54348e-01 ; -7.43452e-03 ; 1.78352e-05 ; -7.34098e-03 ; 1.24256e+02 
9.60107e+01 ; 6.38734e-01 ; -7.41881e-03 ; 1.75175e-05 ; -7.32290e-03 ; 1.25255e+02 
9.65567e+01 ; 6.24204e-01 ; -7.40158e-03 ; 1.72092e-05 ; -7.30761e-03 ; 1.26270e+02 
9.71787e+01 ; 6.09851e-01 ; -7.38403e-03 ; 1.69149e-05 ; -7.29020e-03 ; 1.27272e+02 
9.77639e+01 ; 6.00654e-01 ; -7.37033e-03 ; 1.67549e-05 ; -7.27381e-03 ; 1.28288e+02 
9.82637e+01 ; 5.93924e-01 ; -7.35345e-03 ; 1.66431e-05 ; -7.25982e-03 ; 1.29290e+02 
9.88651e+01 ; 5.81964e-01 ; -7.33899e-03 ; 1.63771e-05 ; -7.24298e-03 ; 1.30289e+02 
9.93600e+01 ; 5.72425e-01 ; -7.32232e-03 ; 1.61650e-05 ; -7.22912e-03 ; 1.31303e+02 
9.99503e+01 ; 5.67421e-01 ; -7.30635e-03 ; 1.60908e-05 ; -7.21259e-03 ; 1.32320e+02 
1.00490e+02 ; 5.62092e-01 ; -7.29268e-03 ; 1.60010e-05 ; -7.19749e-03 ; 1.33319e+02 
1.01013e+02 ; 5.53961e-01 ; -7.27603e-03 ; 1.58285e-05 ; -7.18284e-03 ; 1.34336e+02 
1.01580e+02 ; 5.46769e-01 ; -7.26179e-03 ; 1.56867e-05 ; -7.16695e-03 ; 1.35351e+02 
1.02147e+02 ; 5.36500e-01 ; -7.24705e-03 ; 1.54550e-05 ; -7.15109e-03 ; 1.36352e+02 
1.02637e+02 ; 5.35044e-01 ; -7.23159e-03 ; 1.54677e-05 ; -7.13737e-03 ; 1.37352e+02 
1.03178e+02 ; 5.30430e-01 ; -7.21598e-03 ; 1.53948e-05 ; -7.12215e-03 ; 1.38353e+02 
1.03687e+02 ; 5.24809e-01 ; -7.20233e-03 ; 1.52927e-05 ; -7.10679e-03 ; 1.39353e+02 
1.04117e+02 ; 5.20931e-01 ; -7.18767e-03 ; 1.52312e-05 ; -7.09381e-03 ; 1.40369e+02 
1.04631e+02 ; 5.14460e-01 ; -7.17227e-03 ; 1.51034e-05 ; -7.07826e-03 ; 1.41369e+02 
1.05172e+02 ; 5.09637e-01 ; -7.15951e-03 ; 1.50261e-05 ; -7.06195e-03 ; 1.42384e+02 
1.05566e+02 ; 5.07270e-01 ; -7.14403e-03 ; 1.50034e-05 ; -7.05004e-03 ; 1.43384e+02 
1.06066e+02 ; 5.02368e-01 ; -7.12936e-03 ; 1.49180e-05 ; -7.03493e-03 ; 1.44385e+02 
1.06492e+02 ; 4.97255e-01 ; -7.11617e-03 ; 1.48167e-05 ; -7.02208e-03 ; 1.45370e+02 
1.06990e+02 ; 4.93748e-01 ; -7.10140e-03 ; 1.47715e-05 ; -7.00703e-03 ; 1.46384e+02 
1.07481e+02 ; 4.88937e-01 ; -7.08831e-03 ; 1.46858e-05 ; -6.99219e-03 ; 1.47396e+02 
1.07903e+02 ; 4.83783e-01 ; -7.07365e-03 ; 1.45808e-05 ; -6.97947e-03 ; 1.48411e+02 
1.08386e+02 ; 4.82481e-01 ; -7.05924e-03 ; 1.45907e-05 ; -6.96487e-03 ; 1.49427e+02 
1.08875e+02 ; 4.80644e-01 ; -7.04625e-03 ; 1.45761e-05 ; -6.95011e-03 ; 1.50429e+02 
1.09354e+02 ; 4.76657e-01 ; -7.03208e-03 ; 1.44951e-05 ; -6.93565e-03 ; 1.51446e+02 
1.09770e+02 ; 4.71809e-01 ; -7.01712e-03 ; 1.43823e-05 ; -6.92309e-03 ; 1.52458e+02 
1.10247e+02 ; 4.69477e-01 ; -7.00304e-03 ; 1.43509e-05 ; -6.90868e-03 ; 1.53474e+02 
1.10735e+02 ; 4.65413e-01 ; -6.99067e-03 ; 1.42671e-05 ; -6.89394e-03 ; 1.54475e+02 
1.11148e+02 ; 4.60772e-01 ; -6.97601e-03 ; 1.41589e-05 ; -6.88145e-03 ; 1.55474e+02 
1.11612e+02 ; 4.60831e-01 ; -6.96197e-03 ; 1.41992e-05 ; -6.86745e-03 ; 1.56492e+02 
1.12060e+02 ; 4.58820e-01 ; -6.94949e-03 ; 1.41744e-05 ; -6.85393e-03 ; 1.57492e+02 
1.12498e+02 ; 4.58176e-01 ; -6.93516e-03 ; 1.41910e-05 ; -6.84068e-03 ; 1.58503e+02 
1.12982e+02 ; 4.52640e-01 ; -6.92086e-03 ; 1.40596e-05 ; -6.82608e-03 ; 1.59519e+02 
