T;dTdt [K/s];V [Volt];dV/dt [Volt/s];IntdTdt [V];etime [s]
2.74963e+02 ; -5.38421e-01 ; -2.25304e-05 ; -2.71936e-05 ; 9.19282e-05 ; 6.98990e+01 
2.74454e+02 ; -5.40446e-01 ; -4.44292e-05 ; -2.72791e-05 ; 6.61074e-05 ; 7.09140e+01 
2.74020e+02 ; -5.43060e-01 ; -6.99638e-05 ; -2.73968e-05 ; 4.41252e-05 ; 7.19280e+01 
2.73510e+02 ; -5.46359e-01 ; -9.60290e-05 ; -2.75464e-05 ; 1.82746e-05 ; 7.29280e+01 
2.72999e+02 ; -5.47261e-01 ; -1.17803e-04 ; -2.75751e-05 ; -7.57560e-06 ; 7.39290e+01 
2.72550e+02 ; -5.50459e-01 ; -1.43415e-04 ; -2.77215e-05 ; -3.00644e-05 ; 7.49330e+01 
2.72030e+02 ; -5.52459e-01 ; -1.65945e-04 ; -2.78051e-05 ; -5.61058e-05 ; 7.59310e+01 
2.71584e+02 ; -5.54700e-01 ; -1.91784e-04 ; -2.79032e-05 ; -7.84516e-05 ; 7.69300e+01 
2.71056e+02 ; -5.56436e-01 ; -2.18022e-04 ; -2.79731e-05 ; -1.04886e-04 ; 7.79490e+01 
2.70527e+02 ; -5.57619e-01 ; -2.40391e-04 ; -2.80151e-05 ; -1.31398e-04 ; 7.89510e+01 
2.70082e+02 ; -5.58487e-01 ; -2.66886e-04 ; -2.80439e-05 ; -1.53702e-04 ; 7.99510e+01 
2.69560e+02 ; -5.59387e-01 ; -2.93010e-04 ; -2.80718e-05 ; -1.79863e-04 ; 8.09500e+01 
2.69032e+02 ; -5.60205e-01 ; -3.15261e-04 ; -2.80954e-05 ; -2.06303e-04 ; 8.19640e+01 
2.68575e+02 ; -5.60042e-01 ; -3.41844e-04 ; -2.80721e-05 ; -2.29221e-04 ; 8.29790e+01 
2.68054e+02 ; -5.59948e-01 ; -3.68154e-04 ; -2.80496e-05 ; -2.55316e-04 ; 8.39810e+01 
2.67526e+02 ; -5.59546e-01 ; -3.90839e-04 ; -2.80083e-05 ; -2.81775e-04 ; 8.50120e+01 
2.69719e+02 ; 2.40428e+00 ; -3.09575e-04 ; 1.20677e-04 ; -1.71882e-04 ; 8.60100e+01 
